"Main.group" "Scientific.Name" "Common.name" "Conservation.action.needed" "Avoid.negative.impacts"
"162" "Terrestrial invertebrates" "Clossiana euphrosyne" "Pearl-bordered Fritillary" "Yes" "Yes"
"163" "Terrestrial invertebrates" "Boloria selene" "Small Pearl-bordered Fritillary" "-" "-"
"164" "Terrestrial invertebrates" "Carterocephalus palaemon" "Chequered Skipper" "Yes" "Yes"
"165" "Terrestrial invertebrates" "Coenonympha pamphilus" "Small Heath" "Yes" "-"
"166" "Terrestrial invertebrates" "Coenonympha tullia" "Large Heath" "Yes" "Yes"
"167" "Terrestrial invertebrates" "Cupido minimus" "Small Blue" "-" "Yes"
"168" "Terrestrial invertebrates" "Erebia epiphron" "Small Mountain Ringlet" "-" "Yes"
"169" "Terrestrial invertebrates" "Erynnis tages subsp. tages" "Dingy Skipper" "Yes" "-"
"170" "Terrestrial invertebrates" "Euphydryas aurinia form aurinia" "Marsh Fritillary" "Yes" "-"
"171" "Terrestrial invertebrates" "Hipparchia semele" "Grayling" "Yes" "-"
"172" "Terrestrial invertebrates" "Lasiommata megera" "Wall" "Yes" "-"
"173" "Terrestrial invertebrates" "Labia minor" "Lesser Earwig" "-" "-"
"174" "Terrestrial invertebrates" "Ceratophyllus (Emmareus) fionnus" "Manx Shearwater Flea" "-" "-"
"175" "Terrestrial invertebrates" "Ammophila sabulosa" "Red Banded Sand Wasp" "-" "-"
"176" "Terrestrial invertebrates" "Ancistrocerus parietum" "Wall Mason Wasp" "-" "-"
"177" "Terrestrial invertebrates" "Andrena (Andrena) helvola" "a Mining Bee" "-" "-"
"178" "Terrestrial invertebrates" "Andrena (Euandrena) ruficrus" "a Mining Bee" "-" "-"
"179" "Terrestrial invertebrates" "Andrena (Margandrena) marginata" "a Mining Bee" "-" "-"
"180" "Terrestrial invertebrates" "Andrena (Melandrena) cineraria" "Grey Mining Bee" "-" "-"
"181" "Terrestrial invertebrates" "Andrena (Melandrena) nitida" "a Mining Bee" "-" "-"
"182" "Terrestrial invertebrates" "Andrena (Poliandrena) tarsata" "Tormentil Mining Bee" "-" "-"
"183" "Terrestrial invertebrates" "Anoplius (Anoplius) concinnus" "a Spider-hunting Wasp" "-" "-"
"184" "Terrestrial invertebrates" "Anthidium (Anthidium) manicatum" "Wool-Carder Bee" "-" "-"
"185" "Terrestrial invertebrates" "Anthophora (Clisodon) furcata" "Fork Tailed Flower Bee" "-" "-"
"186" "Terrestrial invertebrates" "Bombus (Pyrobombus) monticola" "Mountain Bumble Bee" "Yes" "-"
"187" "Terrestrial invertebrates" "Bombus (Subterraneobombus) distinguendus" "Great Yellow Bumblebee" "Yes" "-"
"188" "Terrestrial invertebrates" "Bombus (Thoracombus) muscorum" "Moss Carder-bee" "-" "-"
"189" "Terrestrial invertebrates" "Bombus (Thoracombus) ruderarius" "Red-shanked Carder-bee" "-" "-"
"190" "Terrestrial invertebrates" "Ceropales maculata" "a Spider-hunting Wasp" "-" "-"
"191" "Terrestrial invertebrates" "Chrysura hirsuta" "Northern Osmia Ruby-tailed Wasp" "Yes" "-"
"192" "Terrestrial invertebrates" "Colletes (Colletes) daviesanus" "a bee" "-" "-"
"193" "Terrestrial invertebrates" "Colletes (Colletes) floralis" "Northern Colletes" "-" "-"
"194" "Terrestrial invertebrates" "Colletes (Colletes) fodiens" "a bee" "-" "-"
"195" "Terrestrial invertebrates" "Crabro peltarius" "a solitary wasp" "-" "-"
"196" "Terrestrial invertebrates" "Crossocerus (Blepharipus) megacephalus" "a Digger wasp" "-" "-"
"197" "Terrestrial invertebrates" "Crossocerus (Hoplocrabro) quadrimaculatus" "4-Spotted Digger Wasp" "-" "-"
"198" "Terrestrial invertebrates" "Diodontus tristis" "Melancholy Black Wasp" "-" "-"
"199" "Terrestrial invertebrates" "Dipogon (Deuteragenia) subintermedius" "a Spider-hunting Wasp" "-" "-"
"200" "Terrestrial invertebrates" "Dipogon (Deuteragenia) variegatus" "a Spider-hunting Wasp" "-" "-"
"201" "Terrestrial invertebrates" "Dryudella pinguis" "a Hole nesting wasp" "-" "-"
"202" "Terrestrial invertebrates" "Ectemnius (Hypocrabro) continuus" "a Digger wasp" "-" "-"
"203" "Terrestrial invertebrates" "Ectemnius (Metacrabro) cephalotes" "a Digger wasp" "-" "-"
"204" "Terrestrial invertebrates" "Embolemus ruddii" "an Aculeate" "-" "-"
"205" "Terrestrial invertebrates" "Epeolus variegatus" "a cuckoo bee" "-" "-"
"206" "Terrestrial invertebrates" "Evagetes crassicornis" "a Spider-hunting Wasp" "-" "-"
"207" "Terrestrial invertebrates" "Formica exsecta" "Narrow-headed Ant" "Yes" "Yes"
"208" "Terrestrial invertebrates" "Formica fusca" "Negro Ant" "-" "-"
"209" "Terrestrial invertebrates" "Formicoxenus nitidulus" "Shining Guest Ant" "-" "-"
"210" "Terrestrial invertebrates" "Harpactus tumidus" "a Digger wasp" "-" "-"
"211" "Terrestrial invertebrates" "Hedychridium ardens" "a ruby-tailed wasp" "-" "-"
"212" "Terrestrial invertebrates" "Hylaeus (Prosopis) brevicornis" "Short Horned Yellow-Face Bee" "-" "-"
"213" "Terrestrial invertebrates" "Lasioglossum (Dialictus) smeathmanellum" "a mining bee" "-" "-"
"214" "Terrestrial invertebrates" "Lasioglossum (Evylaeus) fulvicorne" "a mining bee" "-" "-"
"215" "Terrestrial invertebrates" "Lasioglossum (Evylaeus) villosulum" "Shaggy Mining Bee" "-" "-"
"216" "Terrestrial invertebrates" "Lindenius albilabris" "a Digger wasp" "-" "-"
"217" "Terrestrial invertebrates" "Mimumesa dahlbomi" "a black solitary wasp" "-" "-"
"218" "Terrestrial invertebrates" "Mutilla europaea" "Large Velvet Ant" "-" "-"
"219" "Terrestrial invertebrates" "Nomada fabriciana" "Fabricius' Nomad Bee" "-" "-"
"220" "Terrestrial invertebrates" "Nomada leucophthalma" "a Nomad bee" "-" "-"
"221" "Terrestrial invertebrates" "Nomada obtusifrons" "a Nomad bee" "-" "-"
"222" "Terrestrial invertebrates" "Nomada roberjeotiana" "a Nomad bee" "-" "-"
"223" "Terrestrial invertebrates" "Osmia (Chalcosmia) caerulescens" "Blue Mason Bee" "-" "-"
"224" "Terrestrial invertebrates" "Osmia (Helicosmia) aurulenta" "Gold-Fringed Mason Bee" "-" "-"
"225" "Terrestrial invertebrates" "Osmia (Melanosmia) inermis" "a Mason Bee" "Yes" "Yes"
"226" "Terrestrial invertebrates" "Osmia (Melanosmia) parietina" "Western Mason Bee" "-" "-"
"227" "Terrestrial invertebrates" "Osmia (Melanosmia) uncinata" "a Mason Bee" "Yes" "Yes"
"228" "Terrestrial invertebrates" "Osmia (Osmia) rufa" "Red Mason Bee" "-" "-"
"229" "Terrestrial invertebrates" "Oxybelus uniglumis" "Common Spiny Digger Wasp" "-" "-"
"230" "Terrestrial invertebrates" "Pompilus cinereus" "Leaden Spider Wasp" "-" "-"
"231" "Terrestrial invertebrates" "Priocnemis (Priocnemis) schioedtei" "a Spider-hunting wasp" "-" "-"
"232" "Terrestrial invertebrates" "Pseudomalus auratus" "a Ruby-tailed wasp" "-" "-"
"233" "Terrestrial invertebrates" "Sphecodes gibbus" "a solitary bee" "-" "-"
"234" "Terrestrial invertebrates" "Stelis punctulatissima" "a cuckoo bee" "-" "-"
"235" "Terrestrial invertebrates" "Symmorphus bifasciatus" "a Potter wasp" "-" "-"
"236" "Terrestrial invertebrates" "Tachysphex pompiliformis" "a Spider-hunting wasp" "-" "-"
"237" "Terrestrial invertebrates" "Hemerobius perelegans" "a Lacewing" "-" "-"
"238" "Terrestrial invertebrates" "Megalomus hirtus" "Bordered Brown Lacewing" "Yes" "-"
"239" "Terrestrial invertebrates" "Acronicta psi" "Grey Dagger" "-" "-"
"240" "Terrestrial invertebrates" "Acronicta rumicis" "Knot Grass" "-" "-"
"241" "Terrestrial invertebrates" "Adscita statices" "Forester" "Yes" "-"
"242" "Terrestrial invertebrates" "Aethes rutilana" "Juniper Conch" "-" "-"
"243" "Terrestrial invertebrates" "Agrochola helvola" "Flounced Chestnut" "-" "-"
"244" "Terrestrial invertebrates" "Agrochola litura" "Brown-spot Pinion" "-" "-"
"245" "Terrestrial invertebrates" "Agrochola lychnidis" "Beaded Chestnut" "-" "-"
"246" "Terrestrial invertebrates" "Allophyes oxyacanthae" "Green-brindled Crescent" "-" "-"
"247" "Terrestrial invertebrates" "Amphipoea oculea" "Ear Moth" "-" "-"
"248" "Terrestrial invertebrates" "Amphipyra tragopoginis" "Mouse Moth" "-" "-"
"249" "Terrestrial invertebrates" "Anania funebris" "White-spotted Sable" "-" "-"
"250" "Terrestrial invertebrates" "Coranarta cordigera" "Small Dark Yellow Underwing" "Yes" "-"
"251" "Terrestrial invertebrates" "Apamea anceps" "Large Nutmeg" "-" "-"
"252" "Terrestrial invertebrates" "Apamea remissa" "Dusky Brocade" "-" "-"
"253" "Terrestrial invertebrates" "Apotomis infida" "Rannoch Marble" "-" "-"
"254" "Terrestrial invertebrates" "Archinemapogon yildizae" "Large Scotch Clothes" "-" "-"
"255" "Terrestrial invertebrates" "Arctia caja" "Garden Tiger" "-" "-"
"256" "Terrestrial invertebrates" "Atethmia centrago" "Centre-barred Sallow" "-" "-"
