Species Name;Taxon Concept;Taxon Rank;Kingdom;Phylum;Class;Order;Family;Genus;Vernacular Name;Number of records
Acarospora fuscata;(Schrad.) Th. Fr.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Acarosporales;Acarosporaceae;Acarospora;Acarospora fuscata;1
Acarospora privigna;(Ach.) A. Schneid.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Acarosporales;Acarosporaceae;;Acarospora privigna;1
Acarospora sinopica;(Wahlenb.) KÃ¶rb.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Acarosporales;Acarosporaceae;Acarospora;Acarospora sinopica;1
Accipiter nisus;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Accipiter;Accipiter nisus;1
Acer pseudoplatanus;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer pseudoplatanus;6
Achillea millefolium;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;3
Aeshna juncea;(Linnaeus, 1758);SPECIES;Animalia;Arthropoda;Insecta;Odonata;Aeshnidae;Aeshna;Aeshna juncea;2
Aglais urticae;(Linnaeus, 1758);SPECIES;Animalia;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Aglais;Aglais urticae;3
Agonimia tristicula;(Nyl.) Zahlbr.;SPECIES;Fungi;Ascomycota;Eurotiomycetes;Verrucariales;Verrucariaceae;Agonimia;Agonimia tristicula;1
Agrostis capillaris;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Agrostis;Agrostis capillaris;5
Agrostis stolonifera;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Agrostis;Agrostis stolonifera;3
Agrostis vinealis;Schreb.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Agrostis;Agrostis vinealis;3
Aira praecox;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Aira;Aira praecox;2
Ajuga reptans;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Lamiaceae;Ajuga;Ajuga reptans;4
Allium ursinum;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium ursinum;1
Alnus glutinosa;(L.) Gaertn.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fagales;Betulaceae;Alnus;Alnus glutinosa;2
Anacaena globulus;(Paykull, 1798);SPECIES;Animalia;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Anacaena;Anacaena globulus;1
Anas platyrhynchos;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas platyrhynchos;1
Andreaea megistospora;B.M.Murray;SPECIES;Plantae;Bryophyta;Andreaeopsida;Andreaeales;Andreaeaceae;Andreaea;Andreaea megistospora;1
Anemone nemorosa;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Anemone;Anemone nemorosa;2
Angelica sylvestris;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;Angelica;Angelica sylvestris;7
Anguilla anguilla;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Actinopterygii;Anguilliformes;Anguillidae;Anguilla;Anguilla anguilla;1
Antennaria dioica;(L.) Gaertn.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Antennaria;Antennaria dioica;1
Anthoxanthum odoratum;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Anthoxanthum;Anthoxanthum odoratum;8
Anthus pratensis;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Anthus;Anthus pratensis;3
Arctostaphylos uva-ursi;(L.) Spreng.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ericales;Ericaceae;Arctostaphylos;Arctostaphylos uva-ursi;1
Ardea cinerea;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Ciconiiformes;Ardeidae;Ardea;Ardea cinerea;1
Arrhenatherum elatius;(L.) P. Beauv. ex J. Presl & C. Presl;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Arrhenatherum;Arrhenatherum elatius;2
Arthonia radiata;(Pers.) Ach.;SPECIES;Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Arthoniaceae;Arthonia;Arthonia radiata;1
Arthrorhaphis grisea;Th. Fr.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;;Arthrorhaphidaceae;Arthrorhaphis;Arthrorhaphis grisea;1
Asplenium adiantum-nigrum;L.;SPECIES;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Aspleniaceae;Asplenium;Asplenium adiantum-nigrum;2
Asplenium ruta-muraria;L.;SPECIES;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Aspleniaceae;Asplenium;Asplenium ruta-muraria;3
Athyrium filix-femina;(L.) Roth;SPECIES;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Athyriaceae;Athyrium;Athyrium filix-femina;8
Baeomyces rufus;(Huds.) Rebent.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Baeomycetales;Baeomycetaceae;Baeomyces;Baeomyces rufus;1
Bellis perennis;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Bellis;Bellis perennis;4
Betula pubescens;Ehrh.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fagales;Betulaceae;Betula;Betula pubescens;6
Blechnum spicant;(L.) Roth;SPECIES;Plantae;Pteridophyta;Polypodiopsida;Polypodiales;Blechnaceae;Blechnum;Blechnum spicant;7
Boloria selene;([Denis & SchiffermÃ¼ller], 1775);SPECIES;Animalia;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Boloria;Boloria selene;2
Buellia aethalea;(Ach.) Th. Fr.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Teloschistales;Caliciaceae;Buellia;Buellia aethalea;1
Buellia griseovirens;(Turner & Borrer ex Sm.) Almb.;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Teloschistales;Caliciaceae;Buellia;Buellia griseovirens;1
Bufo bufo;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Amphibia;Anura;Bufonidae;Bufo;Bufo bufo;5
Buteo buteo;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Buteo;Buteo buteo;6
Callophrys rubi;(Linnaeus, 1758);SPECIES;Animalia;Arthropoda;Insecta;Lepidoptera;Lycaenidae;Callophrys;Callophrys rubi;6
Calluna vulgaris;(L.) Hull;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ericales;Ericaceae;Calluna;Calluna vulgaris;8
Caltha palustris;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Caltha;Caltha palustris;2
Campanula rotundifolia;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asterales;Campanulaceae;Campanula;Campanula rotundifolia;2
Candelariella reflexa;(Nyl.) Lettau;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Candelariales;Candelariaceae;Candelariella;Candelariella reflexa;1
Candelariella vitellina f. vitellina;;FORM;Fungi;Ascomycota;Lecanoromycetes;Candelariales;Candelariaceae;Candelariella;Candelariella vitellina;1
Cantharis paludosa;FallÃ©n, 1807;SPECIES;Animalia;Arthropoda;Insecta;Coleoptera;Cantharidae;Cantharis;Cantharis paludosa;1
Carabus granulatus;Linnaeus, 1758;SPECIES;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Carabus;Carabus granulatus;1
Carabus violaceus;Linnaeus, 1758;SPECIES;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Carabus;Carabus violaceus;1
Cardamine flexuosa;With.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Brassicales;Brassicaceae;Cardamine;Cardamine flexuosa;3
Cardamine pratensis;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Brassicales;Brassicaceae;Cardamine;Cardamine pratensis;4
Carex binervis;Sm.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Carex;Carex binervis;8
Carex echinata;Murray;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Carex;Carex echinata;8
Carex flacca;Schreb.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Carex;Carex flacca;3
Carex hostiana;DC.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Carex;Carex hostiana;4
Carex laevigata;Sm.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Carex;Carex laevigata;2
Carex leporina;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Carex;Carex leporina;1
Carex nigra;(L.) Reichard;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Carex;Carex nigra;7
