Species Name;Taxon Concept;Taxon Rank;Kingdom;Phylum;Class;Order;Family;Genus;Vernacular Name;Number of records
Enochrus fuscipennis;(Thomson, C.G., 1884);SPECIES;Animalia;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Enochrus;Enochrus fuscipennis;1
Epilobium montanum;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Onagraceae;Epilobium;Epilobium montanum;2
Epilobium obscurum;Schreb.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Onagraceae;Epilobium;Epilobium obscurum;2
Epilobium palustre;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Myrtales;Onagraceae;Epilobium;Epilobium palustre;6
Equisetum fluviatile;L.;SPECIES;Plantae;Pteridophyta;Equisetopsida;Equisetales;Equisetaceae;Equisetum;Equisetum fluviatile;7
Erebia aethiops;(Esper, 1777);SPECIES;Animalia;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Erebia;Erebia aethiops;2
Erica cinerea;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ericales;Ericaceae;Erica;Erica cinerea;8
Erica tetralix;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ericales;Ericaceae;Erica;Erica tetralix;8
Eriophorum angustifolium;Honck.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Eriophorum;Eriophorum angustifolium;8
Eriophorum vaginatum;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Cyperaceae;Eriophorum;Eriophorum vaginatum;1
Erithacus rubecula;(Linnaeus, 1758);SPECIES;Animalia;Chordata;Aves;Passeriformes;Muscicapidae;Erithacus;Erithacus rubecula;2
Euphrasia micrantha;Rchb.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Orobanchaceae;Euphrasia;Euphrasia micrantha;2
Euphrasia officinalis agg.;;SPECIES_AGGREGATE;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Orobanchaceae;Euphrasia;;1
Euphrasia;L.;GENUS;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Orobanchaceae;Euphrasia;;1
Fagus sylvatica;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fagales;Fagaceae;Fagus;Fagus sylvatica;2
Falco tinnunculus;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Falconiformes;Falconidae;Falco;Falco tinnunculus;3
Festuca ovina agg.;;SPECIES_AGGREGATE;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Festuca;;7
Festuca rubra agg.;L.;SPECIES_AGGREGATE;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Festuca;;8
Festuca vivipara;(L.) Sm.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Poales;Poaceae;Festuca;Festuca vivipara;2
Ficaria verna;Huds.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ficaria;Ficaria verna;2
Filipendula ulmaria;(L.) Maxim.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Filipendula;Filipendula ulmaria;5
Flavoparmelia caperata;(L.) Hale;SPECIES;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Flavoparmelia;Flavoparmelia caperata;1
Fraxinus excelsior;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Oleaceae;Fraxinus;Fraxinus excelsior;3
Fringilla coelebs;Linnaeus, 1758;SPECIES;Animalia;Chordata;Aves;Passeriformes;Fringillidae;Fringilla;Fringilla coelebs;5
Fuscidea cyathoides var. cyathoides;(Ach.) V. Wirth & VÄ›zda;VARIETY;Fungi;Ascomycota;Lecanoromycetes;;Fuscideaceae;Fuscidea;Fuscidea cyathoides;1
Fuscidea lightfootii;(Sm.) Coppins & P. James;SPECIES;Fungi;Ascomycota;Lecanoromycetes;;Fuscideaceae;Fuscidea;Fuscidea lightfootii;1
Fuscidea lygaea;(W. Mann) V. Wirth & VÄ›zda;SPECIES;Fungi;Ascomycota;Lecanoromycetes;;Fuscideaceae;Fuscidea;Fuscidea lygaea;1
Galium aparine;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Rubiaceae;Galium;Galium aparine;3
Galium palustre;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Rubiaceae;Galium;Galium palustre;4
Galium saxatile;L.;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Rubiaceae;Galium;Galium saxatile;8
Gasterosteus aculeatus;Linnaeus, 1758;SPECIES;Animalia;Chordata;Actinopterygii;Gasterosteiformes;Gasterosteidae;Gasterosteus;Gasterosteus aculeatus;1
